"","lemme","freqlemfilms2","nb_lettres","anagramme"
"64","côté",285.99,4,"ôéct"
"65","salut",277.42,5,"atlus"
"66","police",276.21,6,"lcpeio"
"67","suite",275.9,5,"utsie"
"68","matin",275.01,5,"mtian"
"69","mari",264.15,4,"miar"
"70","revoir",262.05,6,"oeivrr"
"71","papa",259.01,4,"apap"
"72","train",255.28,5,"inrat"
"73","film",252.66,4,"lmfi"
"74","garçon",251.51,6,"çgonra"
"75","corps",250.15,5,"crsop"
"76","coeur",239.97,5,"roeuc"
"77","docteur",233.86,7,"eduorct"
"78","façon",230.48,5,"fçano"
"79","nouveau",229.97,7,"uavouen"
"80","point",225.32,5,"tponi"
"81","chien",223.53,5,"nceih"
"82","petit",221.75,5,"tipte"
"83","guerre",221.65,6,"eurerg"
"84","genre",221.51,5,"renge"
"85","arme",220.22,4,"aerm"
"86","cause",218.6,5,"caseu"
"87","endroit",218.24,7,"neditro"
"88","ordre",217.25,5,"errdo"
"89","reste",214.54,5,"rtees"
"90","pied",214.08,4,"edip"
"91","envie",213.96,5,"eeivn"
"92","merde",213.05,5,"remde"
"93","photo",209.1,5,"tpooh"
"94","droit",207.62,5,"dotri"
"95","école",206.88,5,"oecél"
"96","chef",205.26,4,"echf"
"97","boulot",202.97,6,"lbouto"
"98","pays",202.57,4,"spay"
"99","peine",199.75,5,"iepne"
"100","livre",198.11,5,"lervi"
"101","tour",193.82,4,"rotu"
"102","vérité",193.24,6,"véréit"
"103","bébé",191.63,4,"bbéé"
"104","partie",191.19,6,"epatir"
"105","instant",189.41,7,"itnsnat"
"106","parent",188.38,6,"traepn"
"107","service",187.67,7,"ievrcse"
"108","plaisir",186.37,7,"psalrii"
"109","soeur",184.99,5,"rseuo"
"110","lieu",182,4,"leiu"
"111","verre",176.57,5,"revre"
"112","aide",175.59,4,"edia"
"113","journée",174.89,7,"oéenujr"
"114","numéro",173.48,6,"uomrné"
"115","chéri",171.98,5,"héicr"
"116","musique",169.8,7,"uiuqesm"
"117","faute",169.26,5,"futae"
"118","mariage",167.39,7,"eairgam"
"119","bureau",167.13,6,"baeuur"
"120","route",166.72,5,"uoert"
"121","café",163.56,4,"afcé"
"122","confiance",162.9,9,"feoiccann"
"123","bonsoir",161.17,7,"srobino"
"124","compte",160.95,6,"tmepco"
"125","téléphone",160.8,9,"thplénoée"
"126","rêve",158.75,4,"êver"
"127","copain",158.62,6,"anoipc"
"128","attention",158.52,9,"otitanetn"
"129","lettre",156.77,6,"eltetr"
"130","fête",155.97,4,"tfêe"
"131","esprit",155.82,6,"seiprt"
"132","seigneur",153.82,8,"ursngiee"
"133","flic",153.5,4,"cifl"
"134","capitaine",152.69,9,"etiipcaan"
"135","force",151.96,5,"eorfc"
"136","pièce",151.1,5,"cpeiè"
"137","bras",149.26,4,"bsra"
"138","plan",147.54,4,"alpn"
"139","prison",147.49,6,"priosn"
"140","premier",145.76,7,"rimpeer"
"141","vieux",145.73,5,"iveux"
"142","état",145.72,4,"téat"
"143","carte",144.96,5,"etcra"
"144","paix",144.86,4,"xpia"
"145","président",143.39,9,"ertdéipns"
"146","cours",143.05,5,"rucos"
"147","ciel",142.32,4,"clie"
"148","patron",141.53,6,"nraopt"
"149","visage",141.23,6,"asegiv"
"150","médecin",140.19,7,"idemncé"
"151","rapport",140.08,7,"rtpopra"
"152","avis",139.22,4,"savi"
"153","retour",138.94,6,"reorut"
"154","lumière",134.83,7,"ilmrueè"
"155","dollar",134.1,6,"daorll"
"156","hôpital",133.15,7,"ahptlôi"
"157","voix",130.83,4,"xiov"
"158","honneur",130.69,7,"nhrueno"
"159","équipe",129.97,6,"qiueép"
"160","cheval",129.12,6,"vcehla"
"161","maître",128.55,6,"rtameî"
"162","avion",128.35,5,"nvioa"
"163","bout",128.33,4,"obut"
"164","faim",128.04,4,"aimf"
"165","oncle",126.71,5,"enolc"
"166","prix",126.55,4,"pixr"
"167","retard",126.45,6,"tearrd"
"168","cadeau",125.79,6,"aceuda"
"169","face",125.32,4,"ecaf"
"170","gueule",125.22,6,"gelueu"
"171","chemin",125.18,6,"nehcim"
"172","général",124.83,7,"éénalrg"
"173","bateau",124.82,6,"aebtau"
"174","million",124.7,7,"mloinil"
"175","seconde",124.54,7,"soecdne"
"176","erreur",124.15,6,"rrereu"
"177","soleil",123.34,6,"esloli"
"178","voyage",123.17,6,"aogvey"
"179","balle",122.07,5,"lbael"
"180","cheveu",121.27,6,"chveeu"
"181","papier",120.51,6,"areipp"
"182","sujet",120.42,5,"teusj"
"183","table",118.37,5,"tebla"
"184","agent",117.9,5,"eantg"
"185","pouvoir",117.87,7,"iouvopr"
"186","sens",117.57,4,"ssen"
"187","message",117.11,7,"amsgsee"
"188","salle",116.91,5,"llesa"
"189","effet",116.75,5,"tfefe"
"190","espèce",116.51,6,"ecsèep"
"191","bois",115.56,4,"sbio"
"192","propos",115.21,6,"rospop"
"193","camp",114.93,4,"capm"
"194","sorte",114.73,5,"sreot"
"195","hôtel",114.67,5,"ltheô"
"196","début",114.31,5,"étudb"
"197","jambe",113.82,5,"abmej"
"198","choix",113.35,5,"ihxco"
"199","sécurité",113.17,8,"rsiétcué"
"200","avocat",112.69,6,"avotac"
"201","client",112.12,6,"inctel"
"202","courant",111.58,7,"crantou"
"203","peuple",111.36,6,"uepepl"
"204","dame",111.2,4,"made"
"205","journal",110.8,7,"januolr"
"206","fond",110.07,4,"dofn"
"207","gosse",109.96,5,"geoss"
"208","fric",109.01,4,"rfic"
"209","situation",108.99,9,"saottuiin"
"210","accident",108.21,8,"ccdaetni"
"211","doute",108.18,5,"otdeu"
"212","scène",107.96,5,"eènsc"
"213","soldat",107.92,6,"soladt"
"214","preuve",107.54,6,"euervp"
"215","bien",106.6,4,"einb"
"216","silence",106.43,7,"cseilen"
"217","télé",106.42,4,"élét"
"218","victime",106.25,7,"cietvim"
"219","pute",105.25,4,"tpeu"
"220","calme",105.2,5,"elamc"
"221","garde",104.47,5,"egard"
"222","meurtre",104.45,7,"teeurmr"
"223","groupe",104.38,6,"pgroue"
"224","crime",104.07,5,"iecrm"
"225","colonel",103.7,7,"lloceon"
"226","secret",103.49,6,"secetr"
"227","parole",103.48,6,"rpleao"
"228","honte",103.4,5,"eothn"
"229","seul",102.45,4,"eusl"
"230","soirée",102.37,6,"ésoier"
"231","armée",101.07,5,"meaér"
"232","être",100.69,4,"têre"
"233","appel",100.18,5,"plaep"
"234","visite",99.95,6,"sieivt"
"235","fleur",99.75,5,"rlfue"
"236","coin",99.51,4,"onic"
"237","prince",98.9,6,"nreipc"
"238","bordel",98.77,6,"eodlbr"
"239","professeur",98.55,10,"sserfpeour"
"240","habitude",98.22,8,"uitahbde"
"241","réponse",97.06,7,"srépeon"
"242","village",95.82,7,"avleigl"
"243","connerie",95.42,8,"ieonrecn"
"244","forme",94.19,5,"eorfm"
"245","bruit",94.13,5,"btrui"
"246","diable",93.34,6,"daiebl"
"247","exemple",93.2,7,"exlempe"
"248","chat",93,4,"hcat"
"249","ennemi",92.37,6,"imnene"
"250","grand",92.25,5,"gnrad"
"251","gamin",92.22,5,"amnig"
"252","meilleur",91.02,8,"eeliurlm"
"253","trou",90.72,4,"otur"
"254","idiot",90.57,5,"oidit"
"255","fenêtre",90.55,7,"refteên"
"256","impression",90.19,10,"inessmriop"
"257","intérieur",90.11,9,"nériiruet"
"258","bouche",90.03,6,"cobhue"
"259","ligne",89.83,5,"igeln"
"260","enfer",88.86,5,"enref"
"261","boîte",88.81,5,"eotîb"
"262","santé",88.69,5,"séant"
"263","dîner",88.45,5,"rednî"
"264","cuisine",87.92,7,"euisicn"
"265","peau",87.47,4,"eaup"
"266","salaud",87.4,6,"asulad"
"267","conseil",87.14,7,"csnleio"
"268","doigt",85.69,5,"toidg"
"269","mission",85.24,7,"iimsons"
"270","chanson",84.92,7,"onsncah"
"271","pote",84.92,4,"opet"
"272","robe",84.43,4,"breo"
"273","billet",83.87,6,"tblile"
"274","moyen",83.47,5,"yemno"
"275","vaisseau",83.39,8,"svuiasea"
"276","surprise",82.94,8,"usrsierp"
"277","poste",82.87,5,"setop"
"278","anniversaire",82.79,12,"nriienersvaa"
"279","signe",82.73,5,"gisne"
"280","couleur",82.25,7,"olurecu"
"281","image",82.13,5,"agemi"
"282","arbre",81.69,5,"rbare"
"283","bière",81.67,5,"eèibr"
"284","poisson",81.51,7,"oipsnso"
"285","intérêt",81.09,7,"ntrtéiê"
"286","lieutenant",80.99,10,"untetelian"
"287","danger",80.61,6,"ergnda"
"288","animal",80.5,6,"niaaml"
"289","bord",79.9,4,"robd"
"290","noir",79.75,4,"nroi"
"291","liberté",79.53,7,"rtlbéei"
"292","règle",79.51,5,"lgreè"
"293","banque",79.35,6,"euqabn"
"294","classe",78.99,6,"scleas"
"295","dossier",78.91,7,"rseodsi"
"296","bonheur",78.74,7,"huobern"
"297","bande",78.36,5,"naedb"
"298","radio",78.23,5,"iroad"
"299","haut",77.86,4,"tuah"
"300","camarade",77.81,8,"aemcaadr"
"301","oiseau",77.73,6,"asiueo"
"302","vent",77.34,4,"nvte"
"303","recherche",77.3,9,"cherecreh"
"304","dernier",77.22,7,"endirre"
"305","système",76.92,7,"èsetsym"
"306","ferme",76.86,5,"eremf"
"307","ennui",76.64,5,"euinn"
"308","tante",76.62,5,"ttean"
"309","héros",76.58,5,"éhors"
"310","pitié",76.38,5,"tiipé"
"311","appartement",76.33,11,"taaeeptmnpr"
"312","douleur",75.89,7,"oluedru"
"313","sentiment",75.72,9,"emtsnntei"
"314","société",75.46,7,"ctééois"
"315","joie",75.09,4,"joei"
"316","relation",74.95,8,"lnaieotr"
"317","témoin",74.78,6,"tinoém"
"318","acteur",74.77,6,"atucre"
"319","moitié",74.77,6,"iéomti"
"320","bain",74.48,4,"ibna"
"321","marché",74.36,6,"mhcéar"
"322","dent",74.2,4,"ednt"
"323","mademoiselle",73.98,12,"sleiadmemoel"
"324","adresse",73.92,7,"dassere"
"325","cousin",73.87,6,"oiscnu"
"326","compagnie",73.78,9,"mepncgoia"
"327","chaussure",73.58,9,"rhscsuaeu"
"328","oreille",73.54,7,"iorllee"
"329","super",73.26,5,"ureps"
"330","blague",72.63,6,"abugel"
"331","avenir",72.61,6,"raievn"
"332","beauté",72.56,6,"uatbeé"
"333","laisse",72.53,6,"ialsse"
"334","course",72.48,6,"rsuceo"
"335","manière",72.31,7,"emrènai"
"336","expérience",72.04,10,"éipexeecnr"
"337","soin",71.99,4,"onsi"
"338","cour",71.8,4,"coru"
"339","gauche",71.78,6,"heagcu"
"340","liste",71.56,5,"eslti"
"341","courage",70.73,7,"uagceor"
"342","secours",70.36,7,"eocussr"
"343","milieu",70.27,6,"umelii"
"344","contact",69.85,7,"cnoatct"
"345","inspecteur",69.77,10,"pserutncie"
"346","projet",69.59,6,"rteojp"
"347","rôle",69.38,4,"lôre"
"348","risque",69.33,6,"esirqu"
"349","action",69.27,6,"icatno"
"350","ange",69.27,4,"gnae"
"351","avance",69.25,6,"nvceaa"
"352","langue",69.11,6,"lgeaun"
"353","colère",68.9,6,"èerclo"
"354","pauvre",68.54,6,"eupavr"
"355","départ",68.49,6,"trdaép"
"356","époque",68.44,6,"uoépeq"
"357","voleur",68.18,6,"eovrlu"
"358","tort",67.97,4,"rott"
"359","vacance",67.9,7,"vcnaeac"
"360","machine",67.72,7,"eaminhc"
"361","bête",67.67,4,"eêbt"
"362","pain",67.58,4,"ainp"
"363","club",67.51,4,"lcbu"
"364","pierre",67.17,6,"peirer"
"365","salope",66.97,6,"lpoaes"
"366","glace",66.82,5,"agcel"
"367","présent",66.72,7,"énpster"
"368","décision",66.48,8,"iidcsnoé"
"369","juge",66.45,4,"ujeg"
"370","contrôle",66.28,8,"cornôlet"
"371","maladie",66.04,7,"iedlmaa"
"372","quartier",65.7,8,"qtrierua"
"373","travers",65.6,7,"rastvre"
"374","dommage",65.59,7,"egmmdao"
"375","cigarette",65.57,9,"iertcaetg"
"376","époux",65.34,5,"péxuo"
"377","combat",64.83,6,"cmbtao"
"378","morceau",64.78,7,"arucoem"
"379","église",64.75,6,"lgéies"
"380","directeur",64.71,9,"eirtruced"
"381","demande",64.64,7,"addenme"
"382","bombe",64.39,5,"mebbo"
"383","passé",64.32,5,"séasp"
"384","espoir",64.22,6,"oseirp"
"385","tueur",64.06,5,"ureut"
"386","dimanche",63.98,8,"andehmci"
"387","taxi",63.77,4,"axit"
"388","devoir",63.59,6,"viedor"
"389","cinéma",63.49,6,"anciém"
"390","match",63.48,5,"tcmah"
"391","souvenir",63.24,8,"suinorve"
"392","information",63.2,11,"iirnonomtaf"
"393","toilette",62.84,8,"ltetotei"
"394","note",62.82,4,"eotn"
"395","gouvernement",62.66,12,"ngreetnuovme"
"396","monstre",62.56,7,"ntemros"
"397","contraire",62.13,9,"cenroarti"
"398","montagne",62.01,8,"goannmet"
"399","solution",61.96,8,"itlnosou"
"400","opération",61.94,9,"oionératp"
"401","occasion",61.89,8,"iaccoons"
"402","position",61.74,8,"ioptsino"
"403","patient",61.69,7,"ptieant"
"404","cerveau",61.59,7,"evucrae"
"405","excuse",61.58,6,"eesxuc"
"406","vêtement",61.48,8,"nteetêvm"
"407","regard",61.35,6,"darreg"
"408","planète",61.11,7,"atpèenl"
"409","mensonge",61.05,8,"nsnmgeeo"
"410","lune",61.02,4,"nlue"
"411","démon",61,5,"dnémo"
"412","mémoire",60.87,7,"eirmméo"
"413","magasin",60.62,7,"amanisg"
"414","jardin",60.21,6,"ijadnr"
"415","nature",60.2,6,"aunrte"
"416","trace",60.18,5,"rtaec"
"417","félicitation",60.08,12,"élncoiftiiat"
"418","attaque",59.92,7,"quttaea"
"419","lait",59.62,4,"ilta"
"420","résultat",59.47,8,"ltrsutaé"
"421","camion",59.46,6,"mnaioc"
"422","bonne",59.44,5,"nnboe"
"423","étranger",59.32,8,"ératrgne"
"424","base",59.22,4,"ebas"
"425","reine",59.05,5,"enrie"
"426","drogue",58.76,6,"eugdro"
"427","droite",58.7,6,"tierod"
"428","couteau",58.15,7,"tuoecau"
"429","enquête",57.98,7,"eêntque"
"430","goût",57.94,4,"gtûo"
"431","pensée",57.87,6,"enpseé"
"432","importance",57.32,10,"peramiotnc"
"433","bouteille",57.24,9,"eleubtiol"
"434","champ",57.22,5,"machp"
"435","centre",57,6,"encert"
"436","malheur",56.89,7,"luhmare"
"437","miracle",56.89,7,"alrimec"
"438","réunion",56.82,7,"ionurné"
"439","acte",56.81,4,"tace"
"440","pont",56.43,4,"tonp"
"441","faîte",56.42,5,"afîet"
"442","caméra",56.18,6,"maréca"
"443","membre",56.06,6,"ermmbe"
"444","voie",56.06,4,"vioe"
"445","voisin",56,6,"inisov"
"446","différence",55.88,10,"rfifdceené"
"447","détail",55.78,6,"téadil"
"448","pardon",55.62,6,"norpda"
"449","test",55.38,4,"tset"
"450","assassin",55.37,8,"ansasssi"
"451","officier",55.35,8,"fioecirf"
"452","commandant",55.24,10,"naamdntomc"
"453","gâteau",55.19,6,"âaguet"
"454","spectacle",55.19,9,"esepalcct"
"455","métier",55.03,6,"miréte"
"456","chapeau",54.91,7,"phuacae"
"457","respect",54.78,7,"repstec"
"458","dessus",54.77,6,"sdsesu"
"459","jeune",54.68,5,"jeenu"
"460","étoile",54.63,6,"oleéit"
"461","genou",54.24,5,"gouen"
"462","mieux",54.12,5,"mxeui"
"463","sorcier",54.09,7,"iocesrr"
"464","zone",53.94,4,"noze"
"465","dire",53.88,4,"erdi"
"466","réalité",53.77,7,"éraéilt"
"467","contrat",53.23,7,"oacrtnt"
"468","marche",53.17,6,"rahcme"
"469","destin",53.03,6,"esdtin"
"470","urgence",53.03,7,"unecgre"
"471","terrain",52.58,7,"trainre"
"472","folie",52.39,5,"elfio"
"473","baiser",52.17,6,"iebars"
"474","arrière",52.15,7,"èrrriae"
"475","sexe",52.09,4,"exse"
"476","piste",51.77,5,"etpsi"
"477","prêtre",51.69,6,"têprre"
"478","usine",51.59,5,"esinu"
"479","appareil",51.53,8,"iplparea"
"480","fiancé",51.51,6,"éfcnai"
"481","costume",51.42,7,"ectusmo"
"482","déjeuner",51.34,8,"udeerjné"
"483","code",51.27,4,"oced"
"484","danse",51.23,5,"esand"
"485","campagne",51.12,8,"anpceagm"
"486","intention",51.11,9,"ntinetino"
"487","anglais",51.01,7,"naiasgl"
"488","valise",50.99,6,"eliavs"
"489","justice",50.96,7,"eijcuts"
"490","défense",50.94,7,"éefnsed"
"491","arrêt",50.88,5,"rtarê"
"492","beau",50.85,4,"buea"
"493","niveau",50.7,6,"evnaui"
"494","demain",50.4,6,"emdnai"
"495","nord",50.38,4,"dnro"
"496","crise",50.15,5,"reics"
"497","connard",50.13,7,"ondcnar"
"498","tableau",50.11,7,"abaetul"
"499","restaurant",50.04,10,"staruneatr"
"500","trésor",49.92,6,"roérst"
"501","tombe",49.67,5,"eotbm"
"502","poche",49.65,5,"ecoph"
"503","couple",49.62,6,"puloec"
"504","odeur",49.57,5,"droue"
"505","souci",49.47,5,"ucois"
"506","programme",49.11,9,"rommpgare"
"507","allemand",49.08,8,"dmaaleln"
"508","toit",49.01,4,"tito"
"509","fusil",48.61,5,"iulsf"
"510","repas",48.53,5,"psaer"
"511","montre",48.4,6,"nmrtoe"
"512","fantôme",48.23,7,"fmaetnô"
"513","plage",48.19,5,"gpeal"
"514","entrée",48.08,6,"terené"
"515","mine",48.08,4,"niem"
"516","hasard",48.07,6,"ahdsra"
"517","chasse",47.99,6,"ahessc"
"518","sortie",47.81,6,"eosrti"
"519","examen",47.77,6,"exaemn"
"520","cadavre",47.75,7,"dcaaevr"
"521","vache",47.71,5,"acveh"
"522","passe",47.58,5,"aspse"
"523","pire",47.19,4,"irep"
"524","volonté",47.08,7,"éovoltn"
"525","public",46.97,6,"ubplic"
"526","ventre",46.91,6,"rentve"
"527","blanc",46.88,5,"nbcal"
"528","condition",46.73,9,"itdiconno"
"529","shérif",46.65,6,"éhfisr"
"530","parti",46.59,5,"tirap"
"531","samedi",46.53,6,"masdie"
"532","étage",46.45,5,"etéag"
"533","source",46.44,6,"ueorcs"
"534","horreur",46.19,7,"orrehur"
"535","pluie",46.1,5,"ieulp"
"536","objet",45.94,5,"otejb"
"537","presse",45.77,6,"epessr"
"538","siècle",45.77,6,"cliesè"
"539","larme",45.71,5,"merla"
"540","mlle",45.69,4,"mlel"
"541","ombre",45.67,5,"oemrb"
"542","américain",45.64,9,"éimanriac"
"543","conscience",45.53,10,"noiscnecce"
"544","procès",45.41,6,"èsrpoc"
"545","valeur",45.4,6,"velaur"
"546","désir",45.35,5,"rsdié"
"547","juif",45.32,4,"fjui"
"548","mets",45.09,4,"etsm"
"549","direction",45.06,9,"etrcioidn"
"550","présence",45.03,8,"écsprene"
"551","paquet",44.96,6,"ptequa"
"552","sein",44.9,4,"nsei"
"553","nourriture",44.86,10,"rrtieuuron"
"554","sort",44.8,4,"rsot"
"555","passage",44.73,7,"espsaag"
"556","sommeil",44.53,7,"sliemom"
"557","stop",44.5,4,"ptso"
"558","flingue",44.48,7,"lefnuig"
"559","article",44.45,7,"eartlci"
"560","adieu",44.44,5,"aeuid"
"561","viande",44.43,6,"neadiv"
"562","étude",44.22,5,"edtéu"
"563","talent",44.17,6,"elttna"
"564","espace",43.87,6,"cspeea"
"565","château",43.68,7,"etuâhac"
"566","chemise",43.66,7,"eicmhse"
"567","mètre",43.49,5,"eèrtm"
"568","unité",43.46,5,"uténi"
"569","majesté",43.43,7,"tsméaej"
"570","imbécile",43.42,8,"iebémicl"
"571","commissaire",43.39,11,"esmimicoars"
"572","taille",43.17,6,"atllei"
"573","connaissance",43.08,12,"asncoannseci"
"574","énergie",43.06,7,"riégeen"
"575","cellule",42.98,7,"eelcull"
"576","discours",42.75,8,"irsuoscd"
"577","effort",42.7,6,"retffo"
"578","arrivée",42.66,7,"érrviae"
"579","lycée",42.56,5,"léecy"
"580","pomme",42.35,5,"pmome"
"581","repos",42.29,5,"espro"
"582","conversation",42.17,12,"oocntanrseiv"
"583","gare",42.15,4,"erag"
"584","empreinte",42.06,9,"rneetemip"
"585","oeuvre",41.96,6,"euerov"
"586","médicament",41.82,10,"étancmmdie"
"587","blessure",41.81,8,"ssueberl"
"588","queue",41.59,5,"eequu"
"589","théâtre",41.49,7,"trhtéeâ"
"590","leçon",41.48,5,"çlneo"
"591","violence",41.45,8,"eoienvcl"
"592","ministre",41.41,8,"nsmteiri"
"593","titre",41.35,5,"etrti"
"594","alcool",41.3,6,"ocallo"
"595","poulet",41.25,6,"uoplte"
"596","malade",41.24,6,"aladme"
"597","péché",41.22,5,"chpéé"
"598","invité",41.19,6,"nvitié"
"599","porc",41.07,4,"cpor"
"600","front",41.03,5,"rtfno"
"601","artiste",40.78,7,"seiatrt"
"602","geste",40.78,5,"estge"
"603","université",40.64,10,"triviéseun"
"604","chauffeur",40.59,9,"rafefhucu"
"605","mouvement",40.33,9,"ovemtenum"
"606","marque",40.29,6,"rqmuea"
"607","nombre",40.16,6,"omernb"
"608","vitesse",40.12,7,"sevtise"
"609","chaise",40.02,6,"ceahis"
"610","manteau",39.97,7,"naaeutm"
"611","saint",39.85,5,"siant"
"612","naissance",39.72,9,"sannciaes"
"613","signal",39.61,6,"ngsial"
"614","succès",39.58,6,"sèccsu"
"615","nana",39.57,4,"aann"
"616","enfoiré",39.56,7,"eiérofn"
"617","infirmier",39.56,9,"mirnirife"
"618","français",39.49,8,"iarnafçs"
"619","fruit",39.45,5,"utfir"
"620","retraite",39.45,8,"itraetre"
"621","page",39.41,4,"epga"
"622","oeuf",39.4,4,"eofu"
"623","coffre",39.35,6,"ofrcfe"
"624","neige",39.34,5,"ineeg"
"625","star",39.34,4,"srat"
"626","poil",39.33,4,"iplo"
"627","bêtise",39.31,6,"tesêbi"
"628","lapin",39.28,5,"pnila"
"629","salon",39.24,5,"solan"
"630","chaleur",39.13,7,"arulhce"
"631","miss",39.08,4,"sism"
"632","hiver",38.96,5,"ehirv"
"633","collègue",38.93,8,"glloèuec"
"634","rire",38.88,4,"reir"
"635","chaîne",38.8,6,"îhecna"
"636","couille",38.8,7,"cliolue"
"637","corde",38.57,5,"codre"
"638","minuit",38.51,6,"imintu"
"639","politique",38.38,9,"puotliiqe"
"640","étudiant",38.07,8,"uiaténtd"
"641","prisonnier",38.06,10,"pnniirrsoe"
"642","caisse",38.03,6,"esacis"
"643","génie",38.01,5,"inéeg"
"644","tribunal",37.98,8,"tbrnuila"
"645","millier",37.94,7,"lrmliei"
"646","lèvre",37.91,5,"vlerè"
"647","prof",37.82,4,"rfpo"
"648","perte",37.8,5,"epret"
"649","prêt",37.76,4,"ptrê"
"650","veste",37.72,5,"eevst"
"651","changement",37.7,10,"ghtnemenac"
"652","pilote",37.69,6,"poleit"
"653","terme",37.67,5,"rmeet"
"654","vrai",37.58,4,"iarv"
"655","pantalon",37.55,8,"pltanona"
"656","esclave",37.52,7,"cavseel"
"657","responsabilité",37.46,14,"iaérsnsbteplio"
"658","savoir",37.32,6,"svoari"
"659","pression",37.28,8,"esonipsr"
"660","propriétaire",37.27,12,"peritpariréo"
"661","ordinateur",37.15,10,"niaerdtruo"
"662","rouge",37.14,5,"regou"
"663","marié",37.11,5,"méair"
"664","chair",37.07,5,"carhi"
"665","cauchemar",36.94,9,"uerchcama"
"666","lundi",36.94,5,"lniud"
"667","élève",36.84,5,"èévle"
"668","poule",36.7,5,"ulepo"
"669","amitié",36.69,6,"iiatmé"
"670","faveur",36.65,6,"evrafu"
"671","menteur",36.64,7,"eeutmrn"
"672","carrière",36.54,8,"crrrèaie"
"673","série",36.53,5,"siéer"
"674","fesse",36.32,5,"fsees"
"675","sourire",36.08,7,"eiorrus"
"676","douche",36.06,6,"ceduoh"
"677","lien",35.89,4,"ienl"
"678","rencontre",35.68,9,"ocretnnre"
"679","criminel",35.62,8,"imernilc"
"680","vélo",35.58,4,"vléo"
"681","singe",35.48,5,"esgni"
"682","vision",35.48,6,"svoiin"
"683","russe",35.44,5,"ssuer"
"684","journaliste",35.29,11,"tinealurosj"
"685","gloire",35.27,6,"eilorg"
"686","somme",35.25,5,"mmsoe"
"687","créature",35.22,8,"utareérc"
"688","midi",35.19,4,"idmi"
"689","côte",35.16,4,"tecô"
"690","amant",35.03,5,"anatm"
"691","champion",35.02,8,"opmiacnh"
"692","victoire",34.96,8,"retioicv"
"693","forêt",34.94,5,"otfrê"
"694","chasseur",34.92,8,"usshacre"
"695","pistolet",34.92,8,"peltosit"
"696","herbe",34.81,5,"hrebe"
"697","bouge",34.79,5,"uebog"
"698","identité",34.78,8,"eéidtitn"
"699","gaffe",34.68,5,"faegf"
"700","patte",34.6,5,"paett"
"701","grâce",34.59,5,"eâcrg"
"702","offre",34.55,5,"feorf"
"703","frontière",34.54,9,"frroinète"
"704","poids",34.42,5,"sdopi"
"705","couverture",34.39,10,"rrueveouct"
"706","univers",34.21,7,"irnesvu"
"707","policier",34.15,8,"lporicie"
"708","tard",34.1,4,"dtar"
"709","impossible",34.06,10,"ipsmeislbo"
"710","opinion",33.89,7,"npionoi"
"711","passion",33.78,7,"sapsnio"
"712","puissance",33.69,9,"upcsienas"
"713","moteur",33.63,6,"uertom"
"714","fortune",33.62,7,"euntrof"
"715","disque",33.61,6,"dqiseu"
"716","cible",33.55,5,"cblei"
"717","crétin",33.54,6,"itrncé"
"718","aile",33.45,4,"aiel"
