Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
40974;violenter;evoientrl;_ _ _ _ _ _ _ _ _;9;tyranniser;molester;forcer;maltraiter;dénaturer;Contraindre, faire faire par force.;Exercer des violences.;(En particulier) Violer une personne ou commettre une tentative de viol à son encontre [1].
40978;canoniser;eiarsocnn;_ _ _ _ _ _ _ _ _;9;béatifier;mettre au calendrier;rendre saint;sanctifier;prôner;(Christianisme) Admettre, après un procès canonique, une personne dans le catalogue des saints.;Glorifier comme sacré.;Codifier une décision dans un canon, un article du Code de droit canonique.
40979;chouchouter;huteoocuhcr;_ _ _ _ _ _ _ _ _ _ _;11;être aux petits soins;mignoter;couver;pouponner;choyer;Traiter avec complaisance.;;
40980;désordonner;orendsénodr;_ _ _ _ _ _ _ _ _ _ _;11;désorganiser;déranger;;;;Faire perdre son ordre à.;;
40982;engouffrer;urferofnge;_ _ _ _ _ _ _ _ _ _;10;engloutir;enfourner;ingurgiter;dilapider;croquer;Précipiter dans un gouffre ou dans quelque cavité qui ressemble à un gouffre.;Absorber comme un gouffre quand une chose y tombe ou y est jetée.;(Pronominal) Se perdre dans quelque ouverture, dans un gouffre.
40983;extérioriser;rexéoreitirs;_ _ _ _ _ _ _ _ _ _ _ _;12;faire éclater;objectiver;manifester;délivrer;exprimer;(Didactique) Placer en dehors de soi la cause de sensations, de perceptions que l’on éprouve en soi.;;
40985;fraterniser;sfrtenerria;_ _ _ _ _ _ _ _ _ _ _;11;s'entendre;sympathiser;se comprendre;être d'intelligence;faire bon ménage;Se promettre ou se manifester mutuellement une amitié fraternelle.;;
40986;monopoliser;rimoslpoeno;_ _ _ _ _ _ _ _ _ _ _;11;monopoler;truster;accaparer;s'arroger;nationaliser;Accaparer, en se créant ainsi une sorte de monopole.;;
40987;rafistoler;rrfasitoel;_ _ _ _ _ _ _ _ _ _;10;rapetasser;rapiécer;retaper;rapiéceter;rabibocher;(Familier) Raccommoder.;(Par extension) Arranger un objet cassé avec les moyens du bord.;(Figuré) Arranger une chose défectueuse.
40991;sourciller;srocleirlu;_ _ _ _ _ _ _ _ _ _;10;tiquer;sursauter;ciller;remuer;;Remuer les sourcils. — Note : Il se dit surtout figurément et signifie faire paraître du mécontentement, de l’impatience, de l'étonnement etc. Note d’usage :  il s’emploie le plus souvent avec la négative.;;
40992;synthétiser;shiyneséttr;_ _ _ _ _ _ _ _ _ _ _;11;colliger;recomposer;résumer;reconstituer;réunir;(Chimie) (Biochimie) Faire la synthèse de.;Résumer, faire la synthèse de.;
40995;amoindrir;oirranidm;_ _ _ _ _ _ _ _ _;9;abréger;réduire;rapetisser;étriquer;alléger;Rendre moindre.;;
40998;coloniser;loisncreo;_ _ _ _ _ _ _ _ _;9;squatter;envahir;occuper;se soumettre;conquérir;Peupler de colons.;(Écologie) Envahir.;Variante de colonizer.
41000;enfourcher;rcnehrfoeu;_ _ _ _ _ _ _ _ _ _;10;transpercer;percer;monter;;;(Vieilli) Prendre avec une fourche.;Se placer à califourchon sur une monture (un cheval, un âne), ou un véhicule à deux roues (moto, vélo).;Revenir sans cesse dans la conversation à son sujet favori, son opinion, ses lubies, etc.
41001;frétiller;rifelrlét;_ _ _ _ _ _ _ _ _;9;se trémousser;gigoter;démanger;gambiller;se tortiller;"Se remuer ; s’agiter par des mouvements vifs et courts.";(Figuré) (Familier) Être pris d'agitation.;
41002;gribouiller;irreuillbgo;_ _ _ _ _ _ _ _ _ _ _;11;griffonner;peinturlurer;barbouiller;dessiner;écrire;Écrire, dessiner ou peindre quelque chose d’une manière confuse et informe.;;
41003;indifférer;neérrfiidf;_ _ _ _ _ _ _ _ _ _;10;barbifier;endormir;ennuyer;;;Ne pas présenter d’importance, d’intérêt pour (quelqu’un ou quelque chose).;;
41006;quémander;emaudqénr;_ _ _ _ _ _ _ _ _;9;quêter;mendier;implorer;faire la manche;revendiquer;(Vieilli) Solliciter, mendier avec insistance et importunité.;;
41008;rengainer;ageeninrr;_ _ _ _ _ _ _ _ _;9;renquiller;engainer;rentrer;;;Remettre dans la gaine, dans le fourreau.;(Absolument) Remettre l’épée au fourreau.;(Figuré) (Familier) Supprimer ou ne pas achever ce qu’on avait envie de dire.
41009;supplanter;untrlppsae;_ _ _ _ _ _ _ _ _ _;10;évincer;se substituer;remplacer;détrôner;se faire passer pour;Faire perdre à quelqu’un le crédit, la faveur, l’autorité, la situation qu’il avait, et se mettre à sa place.;;
41013;condenser;cnsoenerd;_ _ _ _ _ _ _ _ _;9;résumer;resserrer;liquéfier;schématiser;réduire;Resserrer dans un moindre espace.;(Figuré) Resserrer, compacter.;Condensateur.
41014;conjuguer;jegucruon;_ _ _ _ _ _ _ _ _;9;fédérer;allier;associer;faire correspondre;grouper;(Grammaire) Modifier dans un ordre convenu la racine d’un verbe d’après les voix, les modes, les temps et les personnes.;"Coïncider ; unir ; rassembler ; associer.";
41015;contreficher;rficnterehco;_ _ _ _ _ _ _ _ _ _ _ _;12;;;;;;Mettre une contrefiche.;Se ficher parfaitement.;
41018;frictionner;niritencfor;_ _ _ _ _ _ _ _ _ _ _;11;bouchonner;brosser;frotter;oindre;masser;Soumettre à une friction, à des frictions.;;
41021;invalider;venalrdii;_ _ _ _ _ _ _ _ _;9;abroger;résilier;annuler;abolir;révoquer;"(Droit) Rendre nul ; déclarer, rendre invalide.";(Par extension) Faire perdre à une personne un droit précédemment acquis.;(Médecine) Handicaper, rendre invalide.
41023;matraquer;marauterq;_ _ _ _ _ _ _ _ _;9;étriller;exploiter;bastonner;estamper;écorcher;"Frapper avec une matraque ; bâtonner.";Frapper (sans relation concrète avec la matraque), mitrailler.;Marteler, répéter de façon très insistante (une publicité, en particulier), mitrailler.
41029;asticoter;oresactit;_ _ _ _ _ _ _ _ _;9;taquiner;agacer;lanciner;turlupiner;faire bisquer;Contrarier, tracasser quelqu’un sur de petites choses, taquiner.;;
41030;cautériser;ictreusréa;_ _ _ _ _ _ _ _ _ _;10;aseptiser;stériliser;purifier;brûler;nettoyer;(Médecine) Brûler avec un cautère ou un caustique.;;
41032;embusquer;eqsubuemr;_ _ _ _ _ _ _ _ _;9;planquer;camoufler;poster;;;Mettre en embuscade.;(Pronominal) Se mettre en embuscade.;(Pronominal) (Ironique) (Familier) (Vieilli) Parvenir à se dérober aux plus dures exigences du service militaire.
