Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
1797;création;atiénroc;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;production;élaboration;genèse;instauration;fondation;(Didactique) Action de créer, de donner l’être, l’existence.;(Par extension) Première représentation d’une œuvre d’art scénique ou musicale.;(Au singulier) (Absolument) Univers, monde, ensemble des choses créées.
1798;menu;nuem;˽ ˽ ˽ ˽;4;ténu;grêle;mince;gracile;svelte;Qui est délié, qui a peu de volume, peu de grosseur.;(Figuré) Qui est de peu d’importance.;Chose petite, de détail.
1799;banane;nanbea;˽ ˽ ˽  ˽ ˽ ˽;6;hélicoptère;butoir;mèche;décoration;coiffure;(Botanique) Fruit comestible du bananier de forme allongée, d’abord vert puis jaune ponctué de taches noires à maturité, à chair farineuse.;Sacoche fixée à une ceinture et portée sur le ventre.;(Coiffure) Coupe de cheveux que portaient les premiers rockers.
1800;alibi;liaib;˽ ˽ ˽ ˽ ˽;5;excuse;justification;;;;(Police) Présence d’une personne dans un lieu autre que celui où a été commis le crime ou le délit dont on l’accuse.;(Figuré) Argument invoqué pour échapper à une accusation, même non juridique.;Fournir un alibi.
1801;logement;eolgmnet;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;demeure;appartement;toit;habitation;pénates;Endroit où loger.;Fait de loger ou de se loger.;(Militaire) Action de loger des troupes chez l’habitant.
1802;noeud;deonu;˽ ˽ ˽ ˽ ˽;5;boucle;attache;coeur;bouffette;catogan;Mauvaise orthographe de nœud (la ligature n’est pas optionnelle).;;
1803;fichier;ihreicf;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;classeur;cartothèque;dossier;podcast;meuble;Collection de fiches ayant trait à un même sujet.;(Par extension) Meuble spécial destiné au classement de ces fiches.;(Informatique) Contenant virtuel auquel est assigné un nom unique, permettant de classifier et de réunir en une même entité une séquence de données. Le fichier est stocké dans un système de fichiers et les données qu’il contient sont généralement structurées en suivant un même format.
1804;second;osecdn;˽ ˽ ˽  ˽ ˽ ˽;6;adjoint;assistant;auxiliaire;subalterne;bras droit;"Élément ordinal, correspondant au cardinal deux ; qui est immédiatement après le premier.";Qualifie la deuxième et dernière partie d’une chose.;Celui qui tient le second rang dans un classement, dans une hiérarchie, etc.
1805;dizaine;naiizde;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;décade;;;;;Groupe de dix unités.;Environ dix.;
1807;délai;adéli;˽ ˽ ˽ ˽ ˽;5;sursis;retard;atermoiement;prorogation;répit;Temps accordé pour faire une chose, ou à l’expiration duquel on sera tenu de faire une certaine chose.;;
1810;peso;poes;˽ ˽ ˽ ˽;4;;;;;;Monnaie de plusieurs pays, d’anciennes colonies espagnoles.;Première personne du singulier du présent de l’indicatif de pesar.;
1811;grille;leilrg;˽ ˽ ˽  ˽ ˽ ˽;6;grillage;claire-voie;claie;clôture;barreaux;Assemblage à claire-voie de barreaux se traversant les uns les autres et servant à fermer une fenêtre ou quelque autre ouverture.;Sorte de fermeture en petits carreaux fort serrés, qui est dans les parloirs de certaines communautés religieuses.;Treillis de fer maillé qui sépare le chœur des religieuses cloîtrées d’avec le chœur ou la nef de leur église.
1812;chameau;umceaha;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;rosse;carne;ponton;vache;bête de somme;Mammifère quadrupède ruminant haut de jambes du genre Camelus, ayant une ou deux bosses sur le dos.;(En particulier) Chameau de Bactriane par opposition au dromadaire.;(Argot polytechnicien) (Vieilli) Femme.
1813;crayon;yoranc;˽ ˽ ˽  ˽ ˽ ˽;6;fusain;pochade;sanguine;stylo;pastel;(Technique) Morceau de bois cylindrique fin contenant une mine en son centre, taillé afin d’obtenir une pointe à l’extrémité et qui permet de dessiner, colorier ou écrire avec la main.;(Vieilli) Mine ou toute autre matière colorée propre à dessiner (sans sa gangue de bois).;(En particulier) (Cosmétologie) Petite barre de produit cosmétique solide.
1815;cavalier;aiclvrae;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;désinvolte;impertinent;dégagé;sans-gêne;insolent;(Équitation) Celui, celle qui monte à cheval.;Celui, celle qui sert dans la cavalerie militaire.;Partisan de Charles I d’Angleterre pendant la guerre civile anglaise de 1642.
1818;look;lkoo;˽ ˽ ˽ ˽;4;visibilité;dégaine;gueule;touche;air;(Anglicisme) Aspect, apparence, style, allure.;(Québec) Regard intense.;Nom donné à une résine importée autrefois du Japon et qui était aussi nommée «copal tendre des Indes» et extraite de l'Hymenaea courbaril.
1819;citron;nrctio;˽ ˽ ˽  ˽ ˽ ˽;6;bergamote;cédrat;citrin;poncirus;agrume;Fruit du citronnier, de couleur jaune, à la peau rugueuse et de forme ovoïde. D’un goût acide, il est utilisé pressé dans de nombreuses boissons.;(Familier) Tête, cerveau.;(Argot militaire) Grenade (engin explosif dont la forme peut rappeler un citron).
1820;balai;ablai;˽ ˽ ˽ ˽ ˽;5;plumeau;époussette;houssoir;brosse;aspirateur;Outil fait d’une nappe souple, composée de fibres végétales ou synthétiques, fixée au bout d’un long manche et destiné à nettoyer les poussières et déchets tombés au sol.;(Électricité) Pièce conductrice, à l’origine flexible, chargée d’assurer une liaison électrique entre un organe fixe et un autre mobile. Il permet par exemple de capter ou d’amener le courant électrique au collecteur ou bagues, d’une machine électrique tournante.;(Médecine) (Vieilli) Instrument pour débarrasser l’œsophage.
