"","lemme","freqlemfilms2","nb_lettres","anagramme"
"154","aveugle",38.53,7,"ulgevae"
"155","demi",38.26,4,"mied"
"156","politique",38.09,9,"qeotuilip"
"157","égal",38.08,4,"algé"
"158","malheureux",37.96,10,"muuhxlaeer"
"159","léger",37.77,5,"élegr"
"160","prudent",37.6,7,"tpudnre"
"161","maudit",37.18,6,"idautm"
"162","principal",36.68,9,"clainiprp"
"163","perdu",36.46,5,"uderp"
"164","privé",36.44,5,"viépr"
"165","fatigué",35.86,7,"tufagéi"
"166","portable",35.82,8,"poraeblt"
"167","marrant",35.7,7,"narmtra"
"168","continue",35.19,8,"neitucon"
"169","affreux",34.96,7,"ffrxaeu"
"170","inquiet",34.96,7,"nieqiut"
"171","vieil",34.69,5,"iilev"
"172","national",34.61,8,"naniotal"
"173","social",34.4,6,"lsaioc"
"174","curieux",34.36,7,"uixuecr"
"175","bien",34.29,4,"ineb"
"176","rare",33.27,4,"erar"
"177","foutu",33.23,5,"otufu"
"178","fait",32.77,4,"afti"
"179","évident",32.59,7,"dtnevié"
"180","russe",32.27,5,"esrsu"
"181","anglais",32.22,7,"aiglnas"
"182","connard",31.93,7,"cnanord"
"183","sombre",31.86,6,"bsorme"
"184","enculé",31.77,6,"nlueéc"
"185","célèbre",31.67,7,"eérlècb"
"186","précis",31.59,6,"réspic"
"187","urgent",31.56,6,"tuengr"
"188","médical",31.48,7,"écdaiml"
"189","étranger",31.39,8,"grantreé"
"190","marié",31.15,5,"aérmi"
"191","brave",30.93,5,"earbv"
"192","juif",30.62,4,"uifj"
"193","nouvel",30.59,6,"eouvln"
"194","éternel",30.53,7,"neerlté"
"195","troisième",30.5,9,"siroitèem"
"196","double",30.46,6,"ldbeuo"
"197","brillant",29.89,8,"nitlrbla"
"198","lourd",29.45,5,"ulord"
"199","amusant",29.36,7,"amusnta"
"200","véritable",29.36,9,"vatrleibé"
"201","délicieux",29.22,9,"iéxdueilc"
"202","complet",29.19,7,"copltem"
"203","cruel",28.98,5,"lreuc"
"204","suivant",28.81,7,"vstanui"
"205","moche",28.73,5,"emhoc"
"206","noble",28.7,5,"nloeb"
"207","courageux",28.68,9,"euuaoxrcg"
"208","raisonnable",28.25,11,"oaebrnilsna"
"209","fini",27.8,4,"nfii"
"210","venu",27.67,4,"vune"
"211","fichu",27.51,5,"fihuc"
"212","préféré",27.42,7,"éfrérép"
"213","extraordinaire",27.36,14,"nieexaiatorrdr"
"214","magique",26.93,7,"amiuqge"
"215","fantastique",26.9,11,"aaustniefqt"
"216","sexy",26.83,4,"xsye"
"217","sensible",26.79,8,"lbsieens"
"218","lâche",26.67,5,"hlcâe"
"219","italien",26.66,7,"itlinea"
"220","sain",26.63,4,"nias"
"221","divin",26.55,5,"viidn"
"222","armé",26.53,4,"maér"
"223","vierge",26.03,6,"vegrie"
"224","adorable",25.95,8,"realdboa"
"225","supérieur",25.72,9,"épuresiru"
"226","sourd",25.69,5,"dours"
"227","furieux",25.31,7,"uirxfue"
"228","digne",25.29,5,"nedig"
"229","ferme",25.2,5,"eefmr"
"230","pressé",25.09,6,"resspé"
"231","commun",25.08,6,"omuncm"
"232","élevé",25.02,5,"veéél"
"233","violent",24.99,7,"evointl"
"234","particulier",24.91,11,"icartrelipu"
"235","musical",24.76,7,"lsimcua"
"236","sauvage",24.68,7,"ausagve"
"237","précieux",24.66,8,"pcrixuée"
"238","fidèle",24.61,6,"fdlèei"
"239","total",24.59,5,"aoltt"
"240","gratuit",24.28,7,"itrguat"
"241","mortel",24.13,6,"omletr"
"242","exprès",24.06,6,"serèpx"
"243","avant",23.8,5,"tavna"
"244","chouette",23.77,8,"etcoehut"
"245","rose",23.72,4,"rsoe"
"246","vidéo",23.61,5,"dvoié"
"247","absurde",23.59,7,"rsubaed"
"248","compliqué",23.51,9,"iqulmécpo"
"249","aimable",23.41,7,"lbameia"
"250","généreux",23.32,8,"egxéréun"
"251","saint",23.22,5,"ntasi"
"252","futur",23.2,5,"tufru"
"253","inconnu",23.13,7,"ncuinon"
"254","professionnel",23.09,13,"osnloeepnrfsi"
"255","royal",22.65,5,"ylroa"
"256","délicat",22.52,7,"adicétl"
"257","romantique",22.48,10,"ntiuaqmroe"
"258","gamin",22.15,5,"gaimn"
"259","cassé",22.07,5,"ésacs"
"260","direct",21.89,6,"tridec"
"261","idéal",21.85,5,"laiéd"
"262","solide",21.71,6,"desiol"
"263","franc",21.67,5,"nfarc"
"264","tendre",21.66,6,"eerdnt"
"265","imbécile",21.58,8,"ebléicim"
"266","immense",21.56,7,"mmeinse"
"267","fermé",21.46,5,"fmeré"
"268","blond",21.45,5,"bnodl"
"269","officiel",21.36,8,"olififce"
"270","chinois",21.34,7,"nisicho"
"271","moderne",21.3,7,"ordnmee"
"272","débile",21.09,6,"éeblid"
"273","jaune",21.09,5,"jenau"
"274","espagnol",20.94,8,"lenapgos"
"275","incapable",20.93,9,"icblnpaae"
"276","assis",20.89,5,"siass"
"277","vilain",20.67,6,"ivlnai"
"278","occupé",20.63,6,"cpcéou"
"279","reconnaissant",20.59,13,"esnrtcsaianon"
"280","cardiaque",20.55,9,"acduqraie"
"281","ordinaire",20.55,9,"oreradiin"
"282","civil",20.46,5,"vlcii"
"283","ennuyeux",20.42,8,"xyenuneu"
"284","électrique",20.36,10,"eqtleéiurc"
"285","réfléchi",20.28,8,"rhéfcéil"
"286","dégueulasse",19.98,11,"eluédasesgu"
"287","illégal",19.88,7,"géllila"
"288","vain",19.87,4,"vian"
"289","étonnant",19.85,8,"notnnéta"
"290","gris",19.64,4,"gsri"
"291","prisonnier",19.64,10,"rpiroisnne"
"292","mystérieux",19.61,10,"méietxusry"
